id	file	question	image_url
0	d4_part2_-8_png.rf.3dee55a06343bf2380802388bfda0abe	Do you know how many ands are present in the circuit?	https://rahcode7.github.io/d4_part2_-8_png.rf.3dee55a06343bf2380802388bfda0abe.jpg
1	d4_part2_-8_png.rf.3dee55a06343bf2380802388bfda0abe	Can you ascertain the number of nands in the circuit?	https://rahcode7.github.io/d4_part2_-8_png.rf.3dee55a06343bf2380802388bfda0abe.jpg
2	d4_part2_-103_png.rf.f5daceed5c57cdc871e5d25d66ca464f	Do you know how many ors are present in the circuit?	https://rahcode7.github.io/d4_part2_-103_png.rf.f5daceed5c57cdc871e5d25d66ca464f.jpg
3	d4_part2_-103_png.rf.f5daceed5c57cdc871e5d25d66ca464f	What number of and are included in the given circuit	https://rahcode7.github.io/d4_part2_-103_png.rf.f5daceed5c57cdc871e5d25d66ca464f.jpg
4	d1_autockt_-641_png.rf.7de7528f6db43ea0cf98909e71e8de85	What is the total acv count within the circuit?	https://rahcode7.github.io/d1_autockt_-641_png.rf.7de7528f6db43ea0cf98909e71e8de85.jpg
5	d1_autockt_-641_png.rf.7de7528f6db43ea0cf98909e71e8de85	How many components are there in the circuit that function as resistors?	https://rahcode7.github.io/d1_autockt_-641_png.rf.7de7528f6db43ea0cf98909e71e8de85.jpg
6	d1_autockt_-641_png.rf.7de7528f6db43ea0cf98909e71e8de85	Are there multiple capacitors in the circuit?	https://rahcode7.github.io/d1_autockt_-641_png.rf.7de7528f6db43ea0cf98909e71e8de85.jpg
7	d1_autockt_-641_png.rf.7de7528f6db43ea0cf98909e71e8de85	What is the total inductor count in the given circuit?	https://rahcode7.github.io/d1_autockt_-641_png.rf.7de7528f6db43ea0cf98909e71e8de85.jpg
8	d2_C263_D1_P4	Could you specify the quantity of gnds in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
9	d2_C263_D1_P4	Could you specify the quantity of diode.light_emittings in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
10	d2_C263_D1_P4	How numerous are the integrated_circuits in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
11	d2_C263_D1_P4	What is the total count of integrated_circuit.voltage_regulators in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
12	d2_C263_D1_P4	Do you know how many switchs are present in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
13	d2_C263_D1_P4	What number of transistor.photo are included in the given circuit	https://rahcode7.github.io/d2_C263_D1_P4.jpg
14	d2_C263_D1_P4	What number of optocoupler are included in the given circuit	https://rahcode7.github.io/d2_C263_D1_P4.jpg
15	d2_C263_D1_P4	Do you know how many resistors are present in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
16	d2_C263_D1_P4	How many diode devices are there in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
17	d2_C263_D1_P4	How numerous are the capacitor-unpolarizeds in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
18	d2_C263_D1_P4	What number of socket are included in the given circuit	https://rahcode7.github.io/d2_C263_D1_P4.jpg
19	d2_C263_D1_P4	Could you indicate the quantity of inductors present in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
20	d2_C263_D1_P4	Can you ascertain the number of relays in the circuit?	https://rahcode7.github.io/d2_C263_D1_P4.jpg
21	d4_part2_-80_png.rf.772ae18a1a8ce36b5886c253f24decab	What number of and are included in the given circuit	https://rahcode7.github.io/d4_part2_-80_png.rf.772ae18a1a8ce36b5886c253f24decab.jpg
22	d4_part2_-80_png.rf.772ae18a1a8ce36b5886c253f24decab	Can you determine the number of not components in the circuit?	https://rahcode7.github.io/d4_part2_-80_png.rf.772ae18a1a8ce36b5886c253f24decab.jpg
23	d4_part2_-80_png.rf.772ae18a1a8ce36b5886c253f24decab	How numerous are the ors in the circuit?	https://rahcode7.github.io/d4_part2_-80_png.rf.772ae18a1a8ce36b5886c253f24decab.jpg
24	d4_218_png.rf.0180d3f1ee8abd65d2fac7891d6bc256	How numerous are the nands in the circuit?	https://rahcode7.github.io/d4_218_png.rf.0180d3f1ee8abd65d2fac7891d6bc256.jpg
25	d4_part2_-83_png.rf.60f9592fc34d7153bd24088ce48da492	Could you provide the count of resistors included in the circuit?	https://rahcode7.github.io/d4_part2_-83_png.rf.60f9592fc34d7153bd24088ce48da492.jpg
26	d2_C57_D2_P4	Can you determine the number of transistor.bjt components in the circuit?	https://rahcode7.github.io/d2_C57_D2_P4.jpg
27	d2_C57_D2_P4	Could you indicate the quantity of capacitor-unpolarizeds present in the circuit?	https://rahcode7.github.io/d2_C57_D2_P4.jpg
28	d2_C57_D2_P4	Can you determine the number of resistor components in the circuit?	https://rahcode7.github.io/d2_C57_D2_P4.jpg
29	d1_autockt_-446_png.rf.53d3883b14491d34fb8ae268db438437	What is the ammeter tally in the circuit?	https://rahcode7.github.io/d1_autockt_-446_png.rf.53d3883b14491d34fb8ae268db438437.jpg
30	d1_autockt_-446_png.rf.53d3883b14491d34fb8ae268db438437	Can you determine the number of resistor components in the circuit?	https://rahcode7.github.io/d1_autockt_-446_png.rf.53d3883b14491d34fb8ae268db438437.jpg
31	d1_electrical_162_png.rf.4daf91bdf5e82e1c5913983fa3ec5e7d	Can you determine the number of resistors in the circuit?	https://rahcode7.github.io/d1_electrical_162_png.rf.4daf91bdf5e82e1c5913983fa3ec5e7d.jpg
